order_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_amount
ORD000001,PROD0401,1,422.18,20,422.18,84.44,337.74
ORD000002,PROD0428,2,2783.65,0,5567.3,0.0,5567.3
ORD000002,PROD0131,2,3412.3,20,6824.6,1364.92,5459.68
ORD000002,PROD0442,2,1506.29,0,3012.58,0.0,3012.58
ORD000002,PROD0465,3,8581.27,0,25743.81,0.0,25743.81
ORD000003,PROD0268,1,2177.8,0,2177.8,0.0,2177.8
ORD000004,PROD0191,3,762.94,0,2288.82,0.0,2288.82
ORD000005,PROD0099,1,341.45,15,341.45,51.22,290.23
ORD000005,PROD0483,2,3088.32,0,6176.64,0.0,6176.64
ORD000005,PROD0290,3,408.52,5,1225.56,61.28,1164.28
ORD000006,PROD0386,1,716.75,10,716.75,71.68,645.07
ORD000007,PROD0241,1,145.54,0,145.54,0.0,145.54
ORD000007,PROD0231,3,678.83,5,2036.49,101.82,1934.67
ORD000008,PROD0295,5,434.73,15,2173.65,326.05,1847.6
ORD000008,PROD0245,2,9511.35,0,19022.7,0.0,19022.7
ORD000009,PROD0203,3,5610.43,0,16831.29,0.0,16831.29
ORD000010,PROD0469,1,753.18,25,753.18,188.3,564.88
ORD000010,PROD0401,1,428.14,0,428.14,0.0,428.14
ORD000010,PROD0193,1,1280.35,10,1280.35,128.04,1152.31
ORD000010,PROD0479,1,1346.12,10,1346.12,134.61,1211.51
ORD000011,PROD0033,1,428.09,25,428.09,107.02,321.07
ORD000012,PROD0172,1,24289.5,10,24289.5,2428.95,21860.55
ORD000013,PROD0100,2,898.02,15,1796.04,269.41,1526.63
ORD000014,PROD0483,4,2859.18,0,11436.72,0.0,11436.72
ORD000014,PROD0456,1,374.23,10,374.23,37.42,336.81
ORD000015,PROD0489,1,459.39,20,459.39,91.88,367.51
ORD000015,PROD0123,1,1080.03,15,1080.03,162.0,918.03
ORD000016,PROD0294,2,1091.21,0,2182.42,0.0,2182.42
ORD000016,PROD0334,1,9166.97,0,9166.97,0.0,9166.97
ORD000016,PROD0146,2,3828.45,10,7656.9,765.69,6891.21
ORD000016,PROD0004,2,1677.25,20,3354.5,670.9,2683.6
ORD000017,PROD0323,1,299.09,10,299.09,29.91,269.18
ORD000018,PROD0472,1,3414.08,25,3414.08,853.52,2560.56
ORD000019,PROD0185,1,943.58,5,943.58,47.18,896.4
ORD000020,PROD0004,1,1739.02,0,1739.02,0.0,1739.02
ORD000020,PROD0378,1,1202.58,25,1202.58,300.64,901.94
ORD000020,PROD0178,3,9433.2,0,28299.6,0.0,28299.6
ORD000020,PROD0323,2,321.69,10,643.38,64.34,579.04
ORD000021,PROD0031,1,122.93,20,122.93,24.59,98.34
ORD000022,PROD0117,1,860.22,20,860.22,172.04,688.18
ORD000022,PROD0442,2,1519.71,0,3039.42,0.0,3039.42
ORD000023,PROD0040,2,625.45,15,1250.9,187.64,1063.26
ORD000023,PROD0360,2,724.55,0,1449.1,0.0,1449.1
ORD000023,PROD0456,3,376.8,0,1130.4,0.0,1130.4
ORD000024,PROD0189,1,13233.85,5,13233.85,661.69,12572.16
ORD000025,PROD0052,5,40055.33,15,200276.65,30041.5,170235.15
ORD000026,PROD0448,3,524.62,20,1573.86,314.77,1259.09
ORD000026,PROD0395,2,287.86,20,575.72,115.14,460.58
ORD000026,PROD0128,1,1693.55,20,1693.55,338.71,1354.84
ORD000027,PROD0476,1,944.13,0,944.13,0.0,944.13
ORD000027,PROD0085,4,3482.76,10,13931.04,1393.1,12537.94
ORD000028,PROD0062,2,189.59,20,379.18,75.84,303.34
ORD000029,PROD0213,1,1929.63,20,1929.63,385.93,1543.7
ORD000029,PROD0027,2,1267.06,20,2534.12,506.82,2027.3
ORD000030,PROD0485,1,3212.14,15,3212.14,481.82,2730.32
ORD000030,PROD0263,2,354.48,0,708.96,0.0,708.96
ORD000030,PROD0214,2,258.54,0,517.08,0.0,517.08
ORD000031,PROD0380,1,769.41,5,769.41,38.47,730.94
ORD000031,PROD0469,1,813.32,0,813.32,0.0,813.32
